iter	RMSE
252	48245.5743
253	48215.92319
254	48189.09272
255	48160.38177
256	48125.09372
257	48085.20467
258	48046.37905
259	48030.26833
260	47993.6966
261	47975.77515
262	47933.59834
263	47909.02314
264	47878.98681
265	47849.80633
266	47825.41564
267	47789.38232
268	47755.48812
269	47735.79898
270	47714.83627
271	47681.71762
272	47634.60651
273	47602.61412
274	47575.72458
275	47535.43855
276	47512.69982
277	47484.85082
278	47442.67276
279	47408.14809
280	47378.84031
281	47345.65208
282	47329.13674
283	47306.83578
284	47277.33518
285	47231.09881
286	47201.52526
287	47163.62543
288	47147.46692
289	47131.52858
290	47100.2559
291	47082.60901
292	47050.49136
293	47025.31226
294	46993.73875
295	46962.13027
296	46936.11303
297	46921.41527
298	46895.20455
299	46882.98056
300	46855.7634
301	46831.1957
302	46811.5607
303	46785.61944
304	46760.82628
305	46739.70588
306	46722.27324
307	46706.05548
308	46692.23669
309	46662.31476
310	46632.27614
311	46605.51827
312	46593.82143
313	46570.3717
314	46546.923
315	46517.62502
316	46498.48904
317	46469.75546
318	46443.52403
319	46420.73436
320	46390.7155
321	46369.44848
322	46347.39489
323	46330.85389
324	46299.4982
325	46282.40285
326	46266.5647
327	46252.56219
328	46237.70366
329	46212.28154
330	46183.47863
331	46146.83035
332	46111.83636
333	46095.26759
334	46075.49229
335	46052.74837
336	46031.46691
337	46004.20513
338	45980.87013
339	45966.49129
340	45944.40944
341	45931.03132
342	45903.44438
343	45889.62114
344	45868.99832
345	45851.08479
346	45820.24438
347	45797.15664
348	45773.54041
349	45756.65895
350	45732.49652
351	45698.02103
352	45675.01767
353	45654.7365
354	45637.48949
355	45607.68388
356	45593.99474
357	45573.94254
358	45552.0779
359	45532.81973
360	45519.14461
361	45501.07803
362	45478.91396
363	45464.79154
364	45447.61836
365	45432.60632
366	45415.2275
367	45394.80498
368	45374.92873
369	45348.71053
370	45326.90762
371	45307.10114
372	45292.41829
373	45270.25098
374	45257.14524
375	45237.6636
376	45218.83202
377	45196.03744
378	45165.82614
379	45142.2266
380	45129.12587
381	45109.69453
382	45079.90407
383	45067.68276
384	45054.7239
385	45037.93176
386	45015.02684
387	44996.118
388	44977.76924
389	44950.43375
390	44929.23538
391	44911.17494
392	44892.69362
393	44872.0949
394	44848.28796
395	44830.26226
396	44810.4294
397	44799.60066
398	44780.3128
399	44761.03433
400	44742.90443
401	44723.70409
402	44709.01617
403	44692.03811
404	44666.84163
405	44647.62249
406	44637.14816
407	44610.33567
408	44586.8554
409	44571.46927
410	44555.87207
411	44536.24745
412	44519.31506
413	44498.14189
414	44481.30698
415	44451.70966
416	44429.19475
417	44417.01212
418	44393.66352
419	44372.13275
420	44359.40868
421	44343.50075
422	44327.82914
423	44315.55192
424	44304.45
425	44288.9301
426	44271.72681
427	44258.87605
428	44239.05927
429	44212.7954
430	44198.70038
431	44184.78678
432	44167.94581
433	44151.36736
434	44142.24199
435	44128.28416
436	44114.35405
437	44098.78165
438	44085.4716
439	44069.25017
440	44044.78509
441	44026.18866
442	44010.44067
443	43993.3955
444	43978.74229
445	43957.60875
446	43943.42479
447	43933.34341
448	43914.27371
449	43900.85102
450	43886.17641
451	43870.62033
452	43847.63555
453	43836.23665
454	43821.21869
455	43808.72679
456	43796.14693
457	43779.66269
458	43764.65287
459	43750.41263
460	43735.81076
461	43720.14936
462	43703.6682
463	43684.20715
464	43667.50478
465	43655.79541
466	43643.93892
467	43631.13285
468	43614.89666
469	43601.94738
470	43587.21118
471	43569.35716
472	43555.70703
473	43547.64987
474	43533.92145
475	43516.77701
476	43507.92053
477	43495.67925
478	43487.65516
479	43474.19681
480	43452.55104
481	43441.40634
482	43431.3405
483	43418.52112
484	43402.37958
485	43376.01211
486	43361.85027
487	43349.22555
488	43338.20667
489	43324.19447
490	43309.83452
491	43294.87497
492	43270.96528
493	43256.83252
494	43235.42238
495	43213.10072
496	43200.84729
497	43189.42536
498	43176.60687
499	43163.95811
