iter	Passed	Remaining
429	2381	387
430	2385	381
431	2389	376
432	2393	370
433	2398	364
434	2403	359
435	2407	353
436	2412	347
437	2416	342
438	2420	336
439	2425	330
440	2429	325
441	2433	319
442	2437	313
443	2441	307
444	2446	302
445	2450	296
446	2454	291
447	2458	285
448	2462	279
449	2466	274
450	2471	268
451	2475	262
452	2480	257
453	2484	251
454	2489	246
455	2493	240
456	2498	235
457	2503	229
458	2507	223
459	2512	218
460	2517	212
461	2521	207
462	2526	201
463	2530	196
464	2534	190
465	2538	185
466	2543	179
467	2547	174
468	2551	168
469	2556	163
470	2560	157
471	2564	152
472	2568	146
473	2572	141
474	2576	135
475	2580	130
476	2583	124
477	2588	119
478	2592	113
479	2596	108
480	2600	102
481	2604	97
482	2608	91
483	2612	86
484	2617	80
485	2621	75
486	2625	70
487	2629	64
488	2633	59
489	2638	53
490	2642	48
491	2646	43
492	2650	37
493	2654	32
494	2659	26
495	2663	21
496	2667	16
497	2673	10
498	2677	5
499	2681	0
